City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.73,-155.09,73.4,83,40,2.6,US,2020-07-16 11:27:55
Nikolskoye,59.7,30.79,62.6,59,75,6.0,RU,2020-07-16 11:27:55
Longyearbyen,78.22,15.64,44.6,81,75,1.5,SJ,2020-07-16 11:27:55
Cortez,37.35,-108.59,68.0,45,1,1.5,US,2020-07-16 11:24:42
East London,-33.02,27.91,66.2,29,0,2.6,ZA,2020-07-16 11:27:56
Los Llanos de Aridane,28.66,-17.92,75.2,69,20,5.7,ES,2020-07-16 11:27:56
Russell,32.35,-85.2,73.4,94,90,1.5,US,2020-07-16 11:27:56
Zell am See,47.33,12.79,66.2,63,75,2.6,AT,2020-07-16 11:27:56
Colares,38.8,-9.45,93.2,24,0,2.6,PT,2020-07-16 11:27:56
Fortuna,40.6,-124.16,53.006,100,75,1.01,US,2020-07-16 11:27:56
Quatre Cocos,-20.21,57.76,75.2,64,40,5.1,MU,2020-07-16 11:27:57
Sydney,-33.87,151.21,55.4,76,40,10.3,AU,2020-07-16 11:20:35
Askarovo,53.34,58.51,93.2,23,75,4.0,RU,2020-07-16 11:27:57
Albany,42.6,-73.97,71.006,69,91,3.46,US,2020-07-16 11:27:14
Tasiilaq,65.61,-37.64,46.4,70,20,2.1,GL,2020-07-16 11:27:57
Asău,46.43,26.4,75.2,53,40,2.1,RO,2020-07-16 11:27:57
Givors,45.58,4.77,75.002,46,90,4.1,FR,2020-07-16 11:24:30
Avera,33.19,-82.53,75.2,100,1,2.1,US,2020-07-16 11:27:58
Port Elizabeth,-33.92,25.57,64.4,36,0,1.5,ZA,2020-07-16 11:27:58
Port-Gentil,-0.72,8.78,82.4,69,20,4.72,GA,2020-07-16 11:27:58
Berlevåg,70.86,29.09,59.0,67,20,4.6,NO,2020-07-16 11:27:58
Lithgow,-33.48,150.15,53.996,66,90,1.5,AU,2020-07-16 11:27:58
Sørland,67.67,12.69,57.2,76,75,2.1,NO,2020-07-16 11:27:58
Buraidah,26.33,43.98,111.2,15,2,4.6,SA,2020-07-16 11:25:57
San Cristobal,7.77,-72.22,80.6,57,40,9.3,VE,2020-07-16 11:27:58
Hong Kong,22.29,114.16,87.008,70,70,4.92,HK,2020-07-16 11:23:26
Kapaa,22.08,-159.32,78.8,78,40,7.2,US,2020-07-16 11:27:59
Cabo San Lucas,22.89,-109.91,78.008,90,0,4.27,MX,2020-07-16 11:27:59
Aurangabad,19.88,75.33,78.8,88,75,1.5,IN,2020-07-16 11:27:59
Iqaluit,63.75,-68.51,50.0,71,40,4.19,CA,2020-07-16 11:27:59
Santa Maria,-29.68,-53.81,46.4,87,75,2.6,BR,2020-07-16 11:28:00
Thomaston,32.89,-84.33,71.996,100,90,1.59,US,2020-07-16 11:24:24
Habiganj,24.38,91.42,91.4,63,40,1.5,BD,2020-07-16 11:28:01
Otradnoye,59.78,30.82,60.998000000000005,68,100,4.15,RU,2020-07-16 11:28:02
Pisco,-13.7,-76.22,60.007999999999996,87,90,2.1,PE,2020-07-16 11:28:02
Kununurra,-15.77,128.73,64.4,24,0,0.5,AU,2020-07-16 11:28:02
Jamestown,42.1,-79.24,71.996,77,40,5.7,US,2020-07-16 11:28:02
Norman Wells,65.28,-126.83,57.2,93,90,1.5,CA,2020-07-16 11:28:02
Warrington,53.39,-2.58,64.994,82,90,6.7,GB,2020-07-16 11:28:03
Tiarei,-17.53,-149.33,73.4,83,75,4.6,PF,2020-07-16 11:28:03
Tautira,-17.73,-149.15,73.4,83,75,4.6,PF,2020-07-16 11:28:03
Kahului,20.89,-156.47,77.0,65,1,3.1,US,2020-07-16 11:27:16
Bambous Virieux,-20.34,57.76,75.2,64,40,5.1,MU,2020-07-16 11:28:03
Cayenne,4.93,-52.33,77.0,100,12,2.61,GF,2020-07-16 11:28:03
Yelizovo,53.19,158.38,53.6,100,90,3.0,RU,2020-07-16 11:28:03
Fairbanks,64.84,-147.72,57.2,87,75,2.6,US,2020-07-16 11:28:04
Pendleton,45.67,-118.79,66.992,51,1,3.1,US,2020-07-16 11:28:04
Sitka,57.05,-135.33,55.4,93,90,0.18,US,2020-07-16 11:28:04
La Paz,-16.5,-68.15,33.8,29,0,3.6,BO,2020-07-16 11:28:04
Graaff-Reinet,-32.25,24.53,64.994,18,0,1.34,ZA,2020-07-16 11:28:04
Port Hedland,-20.32,118.57,68.0,64,0,2.1,AU,2020-07-16 11:28:04
Mahébourg,-20.41,57.7,75.2,64,40,5.1,MU,2020-07-16 11:28:04
Mayskiy,47.69,40.1,84.2,28,22,2.0,RU,2020-07-16 11:28:05
Lüderitz,-26.65,15.16,84.2,7,0,9.3,NA,2020-07-16 11:28:05
Great Falls,47.5,-111.3,57.992000000000004,66,1,4.6,US,2020-07-16 11:28:05
Arroyo de la Encomienda,41.61,-4.8,80.006,29,0,3.1,ES,2020-07-16 11:28:05
Katsuura,35.13,140.3,73.004,88,75,4.6,JP,2020-07-16 11:28:05
Tateyama,34.98,139.87,73.004,100,68,2.04,JP,2020-07-16 11:28:05
Kaeo,-35.1,173.78,59.0,3,67,1.02,NZ,2020-07-16 11:28:06
Mahon,39.89,4.27,77.0,53,75,3.6,ES,2020-07-16 11:23:24
Saldanha,-33.01,17.94,69.8,45,0,1.0,ZA,2020-07-16 11:28:06
George,-33.96,22.46,66.2,39,0,2.6,ZA,2020-07-16 11:28:06
Hambantota,6.12,81.12,86.0,74,75,9.3,LK,2020-07-16 11:28:06
Aklavik,68.22,-135.01,51.8,93,75,2.6,CA,2020-07-16 11:28:07
New Norfolk,-42.78,147.06,46.004,87,48,0.62,AU,2020-07-16 11:28:07
Sioux Lookout,50.1,-91.92,64.4,72,90,4.1,CA,2020-07-16 11:28:07
Vardø,70.37,31.11,60.8,67,17,7.7,NO,2020-07-16 11:28:07
Narsaq,60.92,-46.05,53.6,62,40,1.5,GL,2020-07-16 11:28:07
Naze,28.37,129.48,80.6,94,75,4.6,JP,2020-07-16 11:28:07
Esperance,-33.87,121.9,60.8,72,90,2.6,AU,2020-07-16 11:28:07
Palmer,42.16,-72.33,66.992,72,90,1.51,US,2020-07-16 11:28:07
Puerto Ayora,-0.74,-90.35,66.992,91,17,0.89,EC,2020-07-16 11:28:08
Calbuco,-41.77,-73.13,46.4,100,40,2.6,CL,2020-07-16 11:28:08
Gimli,50.63,-96.99,64.004,99,75,2.24,CA,2020-07-16 11:28:08
Bairiki Village,1.33,172.98,80.6,78,75,0.5,KI,2020-07-16 11:28:08
Faya,18.39,42.45,82.4,42,75,5.1,SA,2020-07-16 11:28:08
Haimen,23.19,116.61,89.6,62,20,6.0,CN,2020-07-16 11:28:09
Yellowknife,62.46,-114.35,51.998,100,20,2.6,CA,2020-07-16 11:28:10
Mareeba,-17.0,145.43,57.992000000000004,67,0,0.45,AU,2020-07-16 11:28:12
Salta,-24.79,-65.41,39.2,86,0,1.0,AR,2020-07-16 11:28:12
Tuatapere,-46.13,167.68,39.002,83,45,1.34,NZ,2020-07-16 11:28:12
Saint-Joseph,-21.37,55.62,75.2,69,75,5.1,RE,2020-07-16 11:28:12
Gorgan,36.84,54.43,91.4,55,40,6.2,IR,2020-07-16 11:27:07
Bitam,2.08,11.5,75.2,78,90,1.01,GA,2020-07-16 11:28:12
Coyhaique,-45.58,-72.07,32.0,95,90,1.0,CL,2020-07-16 11:28:13
Safford,32.83,-109.71,78.8,44,1,3.1,US,2020-07-16 11:28:13
Bullhead City,35.15,-114.57,86.0,13,1,1.65,US,2020-07-16 11:28:14
Ḩasanābād,36.55,61.05,98.6,29,52,14.4,IR,2020-07-16 11:28:14
Clyde River,70.47,-68.59,55.4,66,75,2.1,CA,2020-07-16 11:28:14
Ardakān,32.31,54.02,96.8,19,40,4.1,IR,2020-07-16 11:28:14
Hamilton,39.18,-84.53,78.998,69,75,3.6,US,2020-07-16 11:25:30
Antofagasta,-23.65,-70.4,55.4,82,75,6.7,CL,2020-07-16 11:28:15
Maposeni,-10.58,35.4,69.8,40,40,7.7,TZ,2020-07-16 11:28:15
Dolgoderevenskoye,55.34,61.34,96.8,23,20,5.0,RU,2020-07-16 11:28:16
Brae,60.4,-1.35,53.6,100,90,7.2,GB,2020-07-16 11:28:16
Wiarton,44.74,-81.13,69.008,93,90,1.0,CA,2020-07-16 11:28:16
Mount Isa,-20.73,139.5,62.6,27,0,3.1,AU,2020-07-16 11:25:19
Margate,51.38,1.39,64.004,81,84,4.18,GB,2020-07-16 11:28:16
Ribeira Grande,38.52,-28.7,69.8,73,75,1.5,PT,2020-07-16 11:28:17
Hastings,50.86,0.57,66.002,66,91,1.79,GB,2020-07-16 11:28:17
Wonthaggi,-38.6,145.59,46.994,81,0,3.13,AU,2020-07-16 11:28:18
Grand Gaube,-20.01,57.66,75.002,64,24,3.13,MU,2020-07-16 11:28:18
Beira,-19.84,34.84,71.6,56,40,7.7,MZ,2020-07-16 11:28:18
Hemsedal,60.86,8.55,69.998,46,18,1.34,NO,2020-07-16 11:28:18
Chase,50.82,-119.69,57.992000000000004,58,45,0.89,CA,2020-07-16 11:28:19
Half Moon Bay,37.46,-122.43,59.0,93,90,4.1,US,2020-07-16 11:23:25
Torbay,47.67,-52.73,50.0,100,90,8.2,CA,2020-07-16 11:28:19
Waipawa,-41.41,175.52,46.994,78,97,1.79,NZ,2020-07-16 11:28:19
Ilulissat,69.22,-51.1,44.6,75,75,1.5,GL,2020-07-16 11:28:19
São João da Barra,-21.64,-41.05,69.8,77,75,3.1,BR,2020-07-16 11:28:19
Cueto,20.64,-75.94,75.2,94,20,1.5,CU,2020-07-16 11:28:20
Saint Paul Harbor,57.79,-152.41,53.6,76,1,3.1,US,2020-07-16 11:24:31
Saint-François,46.42,3.91,66.2,63,90,2.97,FR,2020-07-16 11:28:20
Gomel,52.43,30.98,73.4,43,95,6.0,BY,2020-07-16 11:28:20
Anadyr,64.75,177.48,50.0,93,10,6.51,RU,2020-07-16 11:28:20
Talnakh,69.49,88.4,53.6,71,40,8.0,RU,2020-07-16 11:28:20
Mount Gambier,-37.83,140.77,42.8,93,71,2.1,AU,2020-07-16 11:28:20
Belmonte,-15.86,-38.88,75.2,69,75,5.1,BR,2020-07-16 11:28:20
Departamento de Maldonado,-34.67,-54.92,42.998000000000005,70,4,4.1,UY,2020-07-16 11:28:20
Prince George,53.92,-122.75,57.992000000000004,100,90,3.6,CA,2020-07-16 11:28:21
Damietta,31.42,31.81,82.4,61,20,3.1,EG,2020-07-16 11:27:07
Granada,37.25,-3.25,93.2,26,3,2.1,ES,2020-07-16 11:28:19
Touros,-5.2,-35.46,75.2,88,75,3.1,BR,2020-07-16 11:28:21
Karachi,24.91,67.08,93.2,52,20,5.1,PK,2020-07-16 11:27:17
Ancud,-41.87,-73.82,50.0,100,90,3.6,CL,2020-07-16 11:28:21
Mehamn,71.04,27.85,55.4,76,75,2.1,NO,2020-07-16 11:28:21
Maceió,-9.67,-35.74,73.4,88,75,2.6,BR,2020-07-16 11:24:35
Goderich,43.75,-81.72,69.998,92,100,0.89,CA,2020-07-16 11:28:22
Georgiyevka,43.04,74.71,89.6,24,20,4.0,KZ,2020-07-16 11:28:22
La Ronge,55.1,-105.28,57.2,82,75,6.2,CA,2020-07-16 11:28:22
Muros,42.78,-9.06,78.008,48,14,4.02,ES,2020-07-16 11:28:23
Kāramadai,11.24,76.96,80.6,74,75,6.2,IN,2020-07-16 11:28:23
Dakar,14.69,-17.44,80.6,78,75,1.0,SN,2020-07-16 11:23:24
Panórama,40.59,23.03,86.0,51,20,4.6,GR,2020-07-16 11:28:23
Portland,45.52,-122.68,62.995999999999995,77,1,3.1,US,2020-07-16 11:25:22
Lixouri,38.2,20.43,78.8,74,20,2.6,GR,2020-07-16 11:28:24
Geraldton,-28.77,114.6,64.4,88,75,6.2,AU,2020-07-16 11:28:24
Songkhla,6.83,100.67,78.8,94,75,2.1,TH,2020-07-16 11:28:24
Nhulunbuy,-12.23,136.77,73.4,78,27,4.1,AU,2020-07-16 11:25:17
Siderno,38.28,16.3,84.2,54,20,6.7,IT,2020-07-16 11:28:25
Bariloche,-41.15,-71.31,37.004,100,40,1.23,AR,2020-07-16 11:28:25
Worland,44.02,-107.96,53.6,46,1,1.5,US,2020-07-16 11:28:25
Kloulklubed,7.04,134.26,78.8,88,75,3.05,PW,2020-07-16 11:28:26
Kiama,-34.68,150.87,55.004,85,72,2.24,AU,2020-07-16 11:28:27
Laas,46.62,10.7,69.008,66,75,3.6,IT,2020-07-16 11:28:27
Vila Franca do Campo,37.72,-25.43,69.8,73,75,5.7,PT,2020-07-16 11:28:27
Coquimbo,-29.95,-71.34,46.4,87,54,3.1,CL,2020-07-16 11:28:27
Poplar Bluff,36.76,-90.39,75.2,88,1,2.6,US,2020-07-16 11:28:27
Jūybār,36.64,52.91,89.6,55,20,4.1,IR,2020-07-16 11:28:27
Yulara,-25.24,130.99,57.2,28,0,3.6,AU,2020-07-16 11:28:27
Benjamín Hill,30.17,-111.1,78.998,74,81,0.89,MX,2020-07-16 11:28:27
Puerto Nariño,-3.77,-70.38,71.6,100,40,0.98,CO,2020-07-16 11:28:28
Drawsko Pomorskie,53.53,15.81,64.994,74,12,1.34,PL,2020-07-16 11:28:28
Sibu,2.3,111.82,82.004,88,40,2.1,MY,2020-07-16 11:28:28
Wuhu,31.34,118.38,73.4,88,100,3.0,CN,2020-07-16 11:28:28
Rumilly,45.87,5.95,75.2,60,90,3.1,FR,2020-07-16 11:28:28
Ciudad de Allende,25.28,-100.02,78.8,78,75,4.1,MX,2020-07-16 11:28:28
Boone,39.03,-92.33,64.994,97,2,1.79,US,2020-07-16 11:28:28
Orsha,54.52,30.41,68.0,49,75,5.0,BY,2020-07-16 11:28:29
Christchurch,-43.53,172.63,42.007999999999996,75,100,1.5,NZ,2020-07-16 11:23:51
Idar,49.72,7.3,64.004,93,75,4.1,DE,2020-07-16 11:28:29
Trofors,65.53,13.41,69.8,49,40,2.1,NO,2020-07-16 11:28:29
Lompoc,34.64,-120.46,57.2,87,90,1.5,US,2020-07-16 11:28:29
Bodden Town,19.28,-81.25,84.2,83,20,2.6,KY,2020-07-16 11:28:29
Brandfort,-28.7,26.46,59.0,16,0,1.5,ZA,2020-07-16 11:28:30
Gloggnitz,47.67,15.94,73.994,50,95,4.47,AT,2020-07-16 11:28:30
Sajanan,37.06,9.24,84.2,65,40,4.6,TN,2020-07-16 11:28:30
Okato,-39.2,173.88,46.004,85,99,6.26,NZ,2020-07-16 11:28:31
Kamaishi,39.27,141.88,64.4,88,75,3.6,JP,2020-07-16 11:28:31
Flinders,-34.58,150.86,55.004,75,65,3.13,AU,2020-07-16 11:28:31
San Jose,37.34,-121.89,60.007999999999996,77,1,3.6,US,2020-07-16 11:26:00
Bridge of Earn,56.35,-3.41,71.006,71,49,2.24,GB,2020-07-16 11:28:32
San Francisco,37.77,-122.42,59.0,77,75,3.1,US,2020-07-16 11:27:26
Pareora,-44.49,171.21,39.992,94,96,2.71,NZ,2020-07-16 11:28:32
Keuruu,62.27,24.7,73.994,46,51,2.6,FI,2020-07-16 11:28:03
Dayong,25.02,118.29,89.6,70,90,4.0,CN,2020-07-16 11:28:32
Broken Hill,-31.95,141.43,51.8,43,0,2.6,AU,2020-07-16 11:28:33
Qasigiannguit,68.82,-51.19,44.6,75,75,1.5,GL,2020-07-16 11:28:33
Mikhaylovka,50.06,43.24,82.004,28,46,4.02,RU,2020-07-16 11:28:33
Gillette,44.29,-105.5,57.992000000000004,70,1,2.21,US,2020-07-16 11:28:33
Garden Acres,37.96,-121.23,62.6,77,1,4.6,US,2020-07-16 11:28:33
Grindavik,63.84,-22.43,51.8,93,75,4.1,IS,2020-07-16 11:28:33
Jizan,17.33,42.67,98.6,60,40,7.2,SA,2020-07-16 11:28:33
Henties Bay,-22.12,14.28,73.004,26,0,0.89,NA,2020-07-16 11:28:34
İzmir,38.46,27.09,84.2,42,20,8.7,TR,2020-07-16 11:26:29
Kavaratti,10.57,72.64,80.6,88,90,9.3,IN,2020-07-16 11:28:34
Ballina,-28.87,153.57,55.004,81,40,3.6,AU,2020-07-16 11:28:35
Ürümqi,43.8,87.6,89.6,29,20,7.0,CN,2020-07-16 11:28:35
Seoul,37.57,126.98,82.4,65,1,2.41,KR,2020-07-16 11:28:35
Nelson Bay,-32.72,152.15,57.2,67,75,6.7,AU,2020-07-16 11:28:35
Katherine,-14.47,132.27,75.2,24,22,3.6,AU,2020-07-16 11:28:36
Bathsheba,13.22,-59.52,84.2,70,20,6.2,BB,2020-07-16 11:28:36
Ribeira Brava,32.65,-17.07,75.2,60,20,3.6,PT,2020-07-16 11:28:36
Villaviciosa,43.48,-5.44,71.006,66,88,3.13,ES,2020-07-16 11:28:37
Camacha,33.08,-16.33,73.4,64,75,4.1,PT,2020-07-16 11:28:37
Kenai,60.55,-151.26,53.996,87,1,1.74,US,2020-07-16 11:28:37
Kamenka,51.32,42.77,77.0,39,20,3.58,RU,2020-07-16 11:28:37
Inverness,57.48,-4.22,73.994,68,40,7.2,GB,2020-07-16 11:28:37
Noumea,-22.28,166.46,62.6,77,20,4.35,NC,2020-07-16 11:25:18
Caucaia,-3.74,-38.65,78.998,69,0,6.2,BR,2020-07-16 11:28:37
Salalah,17.02,54.09,87.8,79,90,6.2,OM,2020-07-16 11:28:37
Necochea,-38.55,-58.74,41.0,85,72,1.79,AR,2020-07-16 11:28:38
Santa Rosa,14.31,121.11,89.006,65,25,3.58,PH,2020-07-16 11:28:38
Northam,51.03,-4.22,66.002,83,86,3.13,GB,2020-07-16 11:28:38
Muroto-misakicho,33.28,134.15,71.6,88,75,1.5,JP,2020-07-16 11:28:38
Pacific Grove,36.62,-121.92,57.992000000000004,87,90,3.1,US,2020-07-16 11:26:40
Muhos,64.81,25.99,71.6,46,27,1.0,FI,2020-07-16 11:28:38
Laguna,38.42,-121.42,60.998000000000005,77,1,3.1,US,2020-07-16 11:28:39
Gunjur,13.2,-16.73,86.0,79,40,3.82,GM,2020-07-16 11:28:39
Humboldt,40.67,-123.92,53.006,100,75,0.91,US,2020-07-16 11:28:39
Forest Hills,42.96,-85.49,66.992,93,90,4.6,US,2020-07-16 11:28:39
Vieste,41.88,16.18,82.4,51,20,3.6,IT,2020-07-16 11:28:40
Ingham,42.6,-84.38,68.0,100,90,3.1,US,2020-07-16 11:28:40
General Roca,-39.03,-67.58,33.8,100,100,1.0,AR,2020-07-16 11:28:40
Smithers,54.78,-127.17,53.6,100,90,0.97,CA,2020-07-16 11:25:17
Saint Anthony,45.02,-93.22,62.6,82,1,1.5,US,2020-07-16 11:28:40
Midrand,-25.96,28.14,66.992,11,0,3.1,ZA,2020-07-16 11:28:40
Mersing,2.43,103.84,84.2,83,8,3.1,MY,2020-07-16 11:28:41
Ulladulla,-35.35,150.47,55.4,58,75,6.2,AU,2020-07-16 11:28:41
Kashgar,39.45,75.98,80.6,28,40,2.0,CN,2020-07-16 11:28:41
Khopoli,18.78,73.33,78.8,100,90,3.6,IN,2020-07-16 11:28:41
Rottenmann,47.52,14.35,66.2,59,100,2.1,AT,2020-07-16 11:28:42
Whyalla,-33.03,137.58,46.4,87,0,1.5,AU,2020-07-16 11:28:42
Tazmalt,36.39,4.4,78.8,65,20,3.1,DZ,2020-07-16 11:28:42
Djibouti,11.5,42.5,107.6,19,1,4.1,DJ,2020-07-16 11:28:42
Caniço,32.63,-16.85,75.2,60,20,3.6,PT,2020-07-16 11:28:42
